1,"Le Petit Prince","Un conte philosophique et poétique écrit par Antoine de Saint-Exupéry. Il raconte l'histoire d'un petit prince venu d'un autre monde qui voyage de planète en planète, apprenant des leçons de vie importantes.","1943-04-06"
2,"Les Misérables","Un roman historique et social de Victor Hugo. Il décrit la vie de plusieurs personnages, notamment Jean Valjean, sur fond de révolution et de lutte pour la justice et la dignité humaine.","1862-06-30"
3,"1984","Un roman dystopique de George Orwell. Il se déroule dans un futur totalitaire où la surveillance de masse et la manipulation de l'information sont omniprésentes.","1949-06-08"
4,"L'Étranger","Un roman existentiel d'Albert Camus. Il explore l'absurdité de la condition humaine à travers le personnage de Meursault, un homme indifférent aux normes sociales.","1942-05-19"
5,"La Peste","Un roman sur une épidémie fictive écrit par Albert Camus. Il décrit la lutte des habitants d'Oran contre une peste dévastatrice, symbolisant la résistance face à l'absurdité de la vie.","1947-06-10"
6,"Madame Bovary","Un roman réaliste de Gustave Flaubert. Il raconte l'histoire d'Emma Bovary, une femme insatisfaite par sa vie provinciale et ses rêves d'amour et de luxe inassouvis.","1857-12-12"
7,"Le Comte de Monte-Cristo","Un roman d'aventure d'Alexandre Dumas. Il suit Edmond Dantès, qui, après avoir été trahi et emprisonné, s'évade pour se venger de ceux qui l'ont injustement condamné.","1844-08-28"
8,"À la recherche du temps perdu","Un roman en sept volumes de Marcel Proust. Il explore les thèmes de la mémoire et du temps à travers les expériences de la vie de l'auteur.","1913-11-14"
9,"Les Fleurs du mal","Un recueil de poésie de Charles Baudelaire. Il traite des thèmes de la beauté, de l'amour, de la mélancolie et de la décadence.","1857-06-25"
10,"Le Rouge et le Noir","Un roman d'apprentissage de Stendhal. Il raconte l'ascension et la chute de Julien Sorel, un jeune homme ambitieux dans la société française post-napoléonienne.","1830-11-22"
11,"Bel-Ami","Un roman réaliste de Guy de Maupassant. Il suit la carrière de Georges Duroy, un homme ambitieux qui utilise son charme et sa ruse pour gravir les échelons de la société parisienne.","1885-04-23"
12,"Candide","Un conte philosophique de Voltaire. Il critique la philosophie de l'optimisme à travers les aventures de Candide, un jeune homme naïf confronté aux dures réalités du monde.","1759-01-01"
13,"Notre-Dame de Paris","Un roman historique de Victor Hugo. Il se déroule au XVe siècle et met en scène la tragique histoire d'amour de Quasimodo, le sonneur de cloches bossu, pour la belle Esméralda.","1831-03-16"
14,"Le Père Goriot","Un roman réaliste de Honoré de Balzac. Il décrit la déchéance de Goriot, un vieil homme ruiné par l'amour pour ses filles ingrates, et l'ambition de Rastignac, un jeune homme arrivant à Paris.","1835-03-14"
15,"Germinal","Un roman naturaliste d'Émile Zola. Il décrit la vie difficile des mineurs de charbon dans le nord de la France et leur lutte pour des conditions de travail meilleures.","1885-03-12"
16,"Les Trois Mousquetaires","Un roman d'aventure d'Alexandre Dumas. Il suit les aventures de d'Artagnan et de ses trois amis mousquetaires, Athos, Porthos et Aramis, dans leur quête de gloire et d'honneur.","1844-03-14"
17,"Le Seigneur des anneaux","Un roman de fantasy de J.R.R. Tolkien. Il suit la quête de Frodon Sacquet et de la Communauté de l'Anneau pour détruire l'Anneau Unique et vaincre Sauron, le Seigneur des Ténèbres.","1954-07-29"
18,"Harry Potter à l'école des sorciers","Un roman de fantasy de J.K. Rowling. Il raconte les débuts de Harry Potter à l'école de sorcellerie de Poudlard, où il découvre ses pouvoirs et se fait des amis pour la vie.","1997-06-26"
19,"L'Attrape-cœurs","Un roman d'apprentissage de J.D. Salinger. Il suit Holden Caulfield, un adolescent en crise qui erre dans New York après avoir été expulsé de son école.","1951-07-16"
20,"Moby Dick","Un roman d'aventure de Herman Melville. Il narre la quête obsessionnelle du capitaine Achab pour traquer et tuer Moby Dick, un gigantesque cachalot blanc.","1851-10-18"
